head_x,head_y,head_z,JAB,JAC,ABC,BCE,JAD,KDE,NIH,MGF,HIC,FGC,label
108.19 ,-29.65 ,646.32 ,49.69 ,49.45 ,177.93 ,50.12 ,50.12 ,60.70 ,120.88 ,55.98 ,81.08 ,87.18 ,forward
107.49 ,-14.38 ,646.68 ,48.57 ,48.39 ,178.53 ,48.43 ,48.43 ,55.94 ,125.13 ,53.17 ,86.46 ,95.42 ,forward
112.55 ,0.44 ,663.62 ,46.55 ,46.17 ,177.32 ,46.00 ,46.00 ,55.58 ,124.90 ,54.97 ,88.23 ,90.56 ,forward
133.49 ,-6.00 ,620.80 ,47.43 ,47.45 ,179.83 ,47.71 ,47.71 ,59.11 ,115.59 ,56.24 ,87.63 ,91.17 ,forward
131.54 ,-1.87 ,624.21 ,46.30 ,46.38 ,179.43 ,46.77 ,46.77 ,59.86 ,119.74 ,58.26 ,83.58 ,86.58 ,forward
131.82 ,-5.28 ,623.40 ,45.87 ,45.98 ,179.25 ,46.63 ,46.63 ,57.63 ,123.92 ,53.14 ,85.14 ,92.33 ,forward
137.25 ,-14.07 ,622.17 ,45.82 ,45.95 ,179.28 ,47.02 ,47.02 ,61.67 ,114.95 ,53.25 ,89.30 ,92.36 ,forward
128.91 ,-45.11 ,638.80 ,47.58 ,47.32 ,178.50 ,47.51 ,47.51 ,61.42 ,123.41 ,57.33 ,86.82 ,88.49 ,forward
116.13 ,-38.37 ,659.75 ,46.01 ,45.81 ,178.96 ,45.99 ,45.99 ,57.30 ,125.59 ,52.65 ,89.10 ,94.11 ,forward
108.73 ,-43.87 ,661.12 ,48.50 ,48.19 ,177.90 ,48.54 ,48.54 ,55.63 ,124.08 ,57.41 ,88.49 ,95.12 ,forward
101.44 ,-21.24 ,643.47 ,50.76 ,50.68 ,179.28 ,51.57 ,51.57 ,56.30 ,126.72 ,52.82 ,81.37 ,86.85 ,forward
17.24 ,-154.90 ,740.64 ,80.04 ,80.91 ,174.46 ,77.22 ,77.22 ,61.16 ,116.07 ,54.88 ,85.95 ,85.93 ,forward
49.72 ,-127.31 ,693.61 ,77.31 ,77.57 ,177.51 ,75.70 ,75.70 ,58.71 ,116.28 ,51.74 ,88.31 ,89.09 ,forward
43.20 ,-141.82 ,708.30 ,78.56 ,78.95 ,176.48 ,77.54 ,77.54 ,59.30 ,124.25 ,55.44 ,90.06 ,88.44 ,forward
38.34 ,-157.18 ,735.01 ,79.51 ,80.44 ,175.31 ,78.75 ,78.75 ,56.33 ,118.28 ,54.35 ,84.57 ,90.31 ,forward
93.34 ,-140.11 ,724.12 ,72.16 ,72.88 ,177.24 ,70.30 ,70.30 ,62.42 ,121.12 ,57.37 ,85.36 ,91.65 ,forward
105.14 ,-121.74 ,696.18 ,72.89 ,73.08 ,179.16 ,69.90 ,69.90 ,55.90 ,114.61 ,53.12 ,81.14 ,90.18 ,forward
